t,step,run_id,sat_id,station_id,active,beam,channel,elev_deg,az_deg,range_km,scan_deg,snr_db,sinr_db,inr_db,ber,rain_fade_db,alloc_bw_hz,alloc_power_w,rate_bps,clean_rate_bps,bits_delivered,slewing,session_age_s
90.0,9,52bb211583b2,SAT-205,Delhi,False,,,74.76024495329422,162.47034234279437,619.8943473253153,15.239755046705781,21.51653778439689,21.51653778439689,-300.0,5.3974120381975895e-33,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
90.0,9,52bb211583b2,SAT-205,Ahmedabad-SAC,True,0,0,36.11708245634159,45.86528383011904,946.5580798977707,53.88291754365841,12.780422146017159,4.234426149804748,7.892163878245565,0.05173585569071326,3.0,50000000.0,10,93418549.78061195,169508973.97707182,747348398.2448956,True,0.0
90.0,9,52bb211583b2,SAT-206,Delhi,False,,,70.22083208072216,83.51094155546366,634.1064990873663,19.77916791927784,21.17057548783434,21.17057548783434,-300.0,1.278892118172539e-30,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
90.0,9,52bb211583b2,SAT-207,Delhi,False,,,53.85311088664912,61.6037877866235,726.691660895302,36.14688911335088,19.07032746548974,19.07032746548974,-300.0,1.2940873086472671e-19,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
90.0,9,52bb211583b2,SAT-208,Delhi,False,,,40.62894572492172,54.66327655198859,872.9746023062403,49.37105427507828,16.173110169234135,16.173110169234135,-300.0,6.109571259553635e-11,0.0,50000000.0,5,0.0,270350003.5111152,0.0,False,0.0
90.0,9,52bb211583b2,SAT-209,Delhi,False,,,31.032561083407995,51.36490121670257,1050.627247536378,58.967438916592,13.12428342316666,13.12428342316666,-300.0,2.9323429316168376e-06,0.0,50000000.0,5,0.0,221420059.85670936,0.0,False,0.0
90.0,9,52bb211583b2,SAT-300,Guwahati,False,,,53.43068942428765,240.88071102561793,730.1535290945058,36.56931057571235,16.37382479191045,16.37382479191045,-300.0,2.2431921073464716e-11,0.5,50000000.0,5,0.0,273606975.9425645,0.0,False,0.0
90.0,9,52bb211583b2,SAT-301,Guwahati,True,0,0,69.97562113340746,261.187208940167,634.9955010805805,20.024378866592542,16.52815556616237,13.31560439663357,0.39550120717484266,1.8096622735758887e-06,0.5,50000000.0,3.090909090909091,224453306.67423752,275000000.0,2244533066.7423754,False,90.0
90.0,9,52bb211583b2,SAT-302,Guwahati,True,1,0,75.6288575510633,341.1871235696008,617.6412305273824,14.371142448936695,16.967043640640767,13.342196487872606,1.1528155010822236,1.6894815909167743e-06,0.5,50000000.0,3.090909090909091,224875380.770257,275000000.0,2248753807.70257,False,90.0
90.0,9,52bb211583b2,SAT-304,Guwahati,True,3,0,45.07256450499003,29.312444114547134,813.9265932399283,44.92743549500997,17.59504058461775,12.296368923303575,3.779261585291559,1.9005147296670566e-05,0.5,50000000.0,10,208368874.64774826,244714598.4588305,2083688746.4774826,False,90.0
90.0,9,52bb211583b2,SAT-305,Guwahati,True,2,0,34.22876770648452,33.344724156648695,982.2772293778881,55.77123229351548,14.370910899015456,7.090385689387021,6.381187109280765,0.011844408783116628,0.5,50000000.0,10,130644430.62517263,193785133.12559286,1306444306.2517264,False,40.0
100.0,10,52bb211583b2,SAT-001,Delhi,False,,,75.97009285666832,194.83320595263444,616.7955446498286,14.029907143331684,21.592908750583078,21.592908750583078,-300.0,1.5212052148235338e-33,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
100.0,10,52bb211583b2,SAT-001,Ahmedabad-SAC,True,1,0,38.423301090150744,40.480609671064876,907.0274392343712,51.576698909849256,13.73823982107838,7.2463144540965505,5.388926345594197,0.010636172038161822,3.0,50000000.0,10,132817279.9405225,184043249.06126878,1328172799.405225,False,100.0
100.0,10,52bb211583b2,SAT-002,Delhi,True,0,0,77.60229034223248,75.09931350942597,613.0531932396074,12.397709657767521,18.17363253806468,15.26172707924296,-0.19907001718760625,3.4071306223953346e-09,0.0,50000000.0,2.2272727272727275,255608139.80943778,275000000.0,2556081398.094378,False,100.0
100.0,10,52bb211583b2,SAT-004,Delhi,True,2,0,43.66824619308485,49.53156019925698,831.3253998736917,46.33175380691515,16.79414887649108,9.461680065319506,6.444994554861166,0.001478173195338787,0.0,50000000.0,4.818181818181818,164890501.0798509,275000000.0,1648905010.7985091,False,100.0
100.0,10,52bb211583b2,SAT-005,Delhi,True,3,0,33.097008216986595,47.597714730165045,1005.2800824820484,56.902991783013405,16.87521246948002,9.780007639723994,6.152085225549503,0.001023969499032419,0.0,50000000.0,10,169657523.1738391,233194461.33912742,1696575231.738391,False,100.0
100.0,10,52bb211583b2,SAT-101,Bengaluru-ISTRAC,True,0,0,77.33350556941213,349.99822604013013,613.6353561635106,12.666494430587875,19.028432206573044,14.853355353240104,2.082308034505253,1.60783396522754e-08,0.0,50000000.0,1.3636363636363638,249030566.73047158,275000000.0,2490305667.3047156,False,100.0
100.0,10,52bb211583b2,SAT-102,Bengaluru-ISTRAC,True,1,0,76.81709060747586,114.62705474981121,614.7914352090951,13.182909392524138,18.99976910031856,14.214645029238994,3.031150567305239,1.393803867945053e-07,0.0,50000000.0,1.3636363636363638,238782886.89400318,275000000.0,2387828868.940032,False,100.0
100.0,10,52bb211583b2,SAT-104,Bengaluru-ISTRAC,True,3,0,43.01493487360166,135.75201784727852,839.8014320912328,46.98506512639834,17.704569983363896,10.302681151261543,6.530000744247077,0.0005294001859757044,0.0,50000000.0,3.090909090909091,177556173.89065573,275000000.0,1775561738.9065573,False,100.0
100.0,10,52bb211583b2,SAT-105,Bengaluru-ISTRAC,True,2,0,32.62472368107581,137.44630058190558,1015.2563524975765,57.37527631892419,16.53916966553696,8.521291244907212,7.271833730370837,0.0038236794866437357,0.0,50000000.0,4.818181818181818,151022887.91586575,275000000.0,1510228879.1586576,False,50.0
100.0,10,52bb211583b2,SAT-200,Ahmedabad-SAC,False,,,56.69627780579104,210.39080765040785,705.0286871399164,33.30372219420896,15.950496787093485,15.950496787093485,-300.0,1.7626590003136014e-10,3.0,50000000.0,5,0.0,266741836.97925568,0.0,False,0.0
100.0,10,52bb211583b2,SAT-201,Ahmedabad-SAC,True,3,0,75.57750522946736,194.20988577606497,617.770414422798,14.422494770532637,16.382388073785734,13.687047071809815,-0.6545579409620959,6.673740595930073e-07,3.0,50000000.0,3.090909090909091,230359043.39987674,275000000.0,2303590433.9987674,False,100.0
100.0,10,52bb211583b2,SAT-202,Delhi,False,,,36.715805080204305,211.92251680656548,935.8822919829744,53.284194919795695,15.04537795510933,15.04537795510933,-300.0,7.88959241771525e-09,0.0,50000000.0,5,0.0,252121107.96454254,0.0,False,0.0
100.0,10,52bb211583b2,SAT-202,Ahmedabad-SAC,True,2,0,78.15951845741384,73.44000887317223,611.8886367490984,11.840481542586161,16.56048792065812,13.703128505337238,-0.31146422881384567,6.379617319664661e-07,3.0,50000000.0,3.090909090909091,230615210.30108237,275000000.0,2306152103.0108237,False,60.0
100.0,10,52bb211583b2,SAT-204,Delhi,True,1,0,64.18453729695115,193.81974225009233,659.9342694488386,25.81546270304885,17.04711639601372,14.76959898267699,-1.6148154596918929,2.1726822843549848e-08,0.0,50000000.0,2.2272727272727275,247683879.487798,275000000.0,2476838794.87798,False,20.0
100.0,10,52bb211583b2,SAT-204,Ahmedabad-SAC,False,,,43.98544648695624,47.084752850123,827.2990467109377,46.01455351304376,12.712443790993632,12.712443790993632,-300.0,7.752912335207883e-06,3.0,50000000.0,5,0.0,214912027.583657,0.0,False,0.0
100.0,10,52bb211583b2,SAT-205,Delhi,False,,,77.0133878007431,136.17406870198502,614.3461509609907,12.986612199256896,21.653517793209517,21.653517793209517,-300.0,5.480408565775118e-34,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
100.0,10,52bb211583b2,SAT-205,Ahmedabad-SAC,True,0,0,33.32005577621333,45.17360614813639,1000.6470886360892,56.67994422378667,11.490825297867218,3.342648517417421,7.426123558086014,0.07086565333032263,3.0,50000000.0,10,82974782.84319703,150429571.75318706,829747828.4319704,False,10.0
100.0,10,52bb211583b2,SAT-206,Delhi,False,,,65.44034610838538,72.88400788930527,653.8553894572149,24.559653891614616,20.7010797992001,20.7010797992001,-300.0,1.104881621601879e-27,0.0,50000000.0,5,0.0,275000000.0,0.0,False,0.0
