target_elev_deg,achieved_elev_deg,weather_state,power_allocator,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
40.0,39.97485151835689,heavy_rain,fixed,2,360.91769069492864,0.0,1.0,0.24808814438556528,411.875,0.21625,0.9997748338364425,0.006701250034287416,12.975,27.816392346429954,0,0.0,0,0.07847599999877275
40.0,39.97485151835689,heavy_rain,adaptive,0,470.6845112295731,0.0,1.0,0.01940726827172268,408.125,0.21625,0.99993784401123,0.006604166727205059,25.95,18.138131453933454,0,0.0,0,0.08040600000094855
40.0,39.97485151835689,heavy_rain,adaptive,1,470.77292189062155,0.0,1.0,0.019223079394538434,409.375,0.21666666666666667,0.99990452772756,0.006829166636634909,26.0,18.106650841946983,0,0.0,0,0.08125880000079633
40.0,39.97485151835689,heavy_rain,adaptive,2,470.0305255744358,0.125,1.0,0.020769738386591977,366.875,0.21583333333333332,0.9998272243259171,0.006645416662346785,25.95,18.11292969458327,0,0.0,0,0.07981900000049791
40.0,39.97485151835689,storm,fixed,0,247.36312099276617,0.0,1.0,0.48466016459840383,438.75,0.17541666666666667,0.9998219747633841,0.006934166731298319,10.525,23.50243429860011,0,0.0,0,0.07771879999927478
40.0,39.97485151835689,storm,fixed,1,246.83321903872005,0.0,1.0,0.4857641270026666,440.625,0.17458333333333334,0.9997945210548356,0.007061666739597664,10.475,23.564030457157045,0,0.0,0,0.07788349999827915
40.0,39.97485151835689,storm,fixed,2,246.11860263740127,0.0,1.0,0.4872529111720807,443.75,0.17375,0.9995367801907298,0.006850000022495806,10.425,23.608499053947362,0,0.0,0,0.0779383000008238
40.0,39.97485151835689,storm,adaptive,0,332.5205039225463,0.0,1.0,0.30724895016136183,438.75,0.17541666666666667,0.9998598509739357,0.006871250047879585,21.05,15.796698523636405,0,0.0,0,0.07889009999962582
40.0,39.97485151835689,storm,adaptive,1,331.73266296346156,0.0,1.0,0.3088902854927886,440.625,0.17458333333333334,0.9998450680635109,0.006973333370297041,20.95,15.83449465219387,0,0.0,0,0.0789889999996376
40.0,39.97485151835689,storm,adaptive,2,330.7396520162779,0.0,1.0,0.3109590582994211,443.75,0.17375,0.9996412062164752,0.007140416732909216,20.85,15.862813046344263,0,0.0,0,0.08005969999976514
40.0,39.97485151835689,extreme,fixed,0,43.95977847050219,0.0,1.0,0.9084171281864537,518.125,0.06916666666666667,0.9983269114448241,0.007757499982593194,4.15,10.592717703735465,0,0.0,0,0.07753820000107225
40.0,39.97485151835689,extreme,fixed,1,43.885746749410416,0.0,1.0,0.9085713609387284,520.0,0.06916666666666667,0.997110520979621,0.007629166611877736,4.15,10.57487873479769,0,0.0,0,0.07604209999954037
40.0,39.97485151835689,extreme,fixed,2,43.044093091242786,0.0,1.0,0.910324806059911,523.75,0.0675,0.9937163278639761,0.007718333336015348,4.05,10.628171133640194,0,0.0,0,0.07633170000008249
40.0,39.97485151835689,extreme,adaptive,0,68.8424537276695,0.0,1.0,0.8565782214006887,518.125,0.06916666666666667,0.9986222519999305,0.007727499943636454,8.3,8.294271533454156,0,0.0,0,0.07724099999904865
40.0,39.97485151835689,extreme,adaptive,1,68.74370373970513,0.0,1.0,0.8567839505422811,520.0,0.06916666666666667,0.9975280075835757,0.007946250040428518,8.3,8.282373944542785,0,0.0,0,0.07901270000002114
40.0,39.97485151835689,extreme,adaptive,2,67.38180715618783,0.0,1.0,0.8596212350912753,523.75,0.0675,0.9945941299788617,0.0078962500462391,8.1,8.31874162422072,0,0.0,0,0.07802480000100331
