world,regime,policy,delivered_gbit,completion_rate,weighted_met,n_met,n_partial,n_rejected,fairness,wall_s,n_quotes,optimal
3,A-slack,oppcost,773.6871493789874,0.6153846153846154,0.625,8,5,0,0.926989683856164,0.017475900007411838,127,
3,A-slack,ratio,773.6871493789874,0.6153846153846154,0.625,8,5,0,0.926989683856164,0.02028899997822009,91,
3,A-slack,w_avail,773.6871493789874,0.6153846153846154,0.625,8,5,0,0.926989683856164,0.024374800006626174,91,
3,A-slack,oracle/throughput,829.0836430731025,0.6153846153846154,0.625,8,5,0,0.9398053385701081,0.006088099995395169,0,True
3,A-slack,oracle/priority,829.0836430731025,0.6153846153846154,0.625,8,5,0,0.9398053385701081,0.011115600005723536,0,True
3,B-real,fcfs,975.7878762357265,0.0,0.0,0,13,0,0.8954304875351938,0.001733800017973408,13,
3,B-real,edf,1032.8806796745494,0.0,0.0,0,13,0,0.8841624957720158,0.0025425000058021396,13,
3,B-real,tier-deadline,1023.9698016307556,0.0,0.0,0,13,0,0.8732706415529645,0.0018344999989494681,13,
3,B-real,deadline-tier,1032.8806796745494,0.0,0.0,0,13,0,0.8841624957720158,0.0026854000170715153,13,
3,B-real,density,1023.9698016307556,0.0,0.0,0,13,0,0.8732706415529645,0.0021840000117663294,13,
3,B-real,slack,975.7878762357265,0.0,0.0,0,13,0,0.8954304875351938,0.025880300003336743,91,
3,B-real,oppcost,975.7878762357265,0.0,0.0,0,13,0,0.8954304875351938,0.014923999988241121,91,
3,B-real,ratio,975.7878762357265,0.0,0.0,0,13,0,0.8954304875351938,0.017595799989067018,91,
3,B-real,w_avail,975.7878762357265,0.0,0.0,0,13,0,0.8954304875351938,0.01819239999167621,91,
3,B-real,oracle/throughput,1052.7974017504828,0.0,0.0,0,13,0,0.934146206940591,0.005019300006097183,0,True
3,B-real,oracle/priority,1052.7974017504828,0.0,0.0,0,13,0,0.933174787834373,0.00981560000218451,0,True
3,C-severe,fcfs,975.7878762357265,0.0,0.0,0,13,0,0.8916621016039713,0.0039431999903172255,13,
3,C-severe,edf,1032.8806796745494,0.0,0.0,0,13,0,0.8890110766760352,0.004673499992350116,13,
3,C-severe,tier-deadline,1023.9698016307556,0.0,0.0,0,13,0,0.8775948558440547,0.002375699987169355,13,
3,C-severe,deadline-tier,1032.8806796745494,0.0,0.0,0,13,0,0.8890110766760352,0.0016445000073872507,13,
3,C-severe,density,1023.4267185526498,0.0,0.0,0,13,0,0.8771417484168871,0.002354600001126528,13,
3,C-severe,slack,975.7878762357265,0.0,0.0,0,13,0,0.8916621016039713,0.014453700016019866,91,
3,C-severe,oppcost,975.7878762357265,0.0,0.0,0,13,0,0.8916621016039713,0.015149800019571558,91,
3,C-severe,ratio,975.7878762357265,0.0,0.0,0,13,0,0.8916621016039713,0.014108900009887293,91,
3,C-severe,w_avail,975.7878762357265,0.0,0.0,0,13,0,0.8916621016039713,0.017289899988099933,91,
