stage,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,wall_time_s
+failure_recovery,4,1150.5098737875614,0.0,0.0,0.849075479385289,1101.0,0.07916666666666666,0.9999017296970745,0.017677666728559416,67.17227272727285,17.12774969605039,0,0.0,0,0.45868220000011206
+failure_recovery,5,1141.5317525944365,0.0,0.0,0.853655004470095,1104.5,0.079,0.9999284824675012,0.01816500000738112,66.82545454545468,17.082289381480624,0,0.0,0,0.507075800000166
+failure_recovery,6,824.994607182391,0.0,0.0,0.8925648372548743,1240.0,0.05516666666666667,0.9898786655497799,0.01866233336234776,40.04772727272744,20.600285293697887,20,0.0,0,0.45168179999927816
+failure_recovery,7,691.15392753369,0.0,0.0,0.9104884778606398,1249.0,0.05375,0.9953158051366734,0.021125333363064176,62.71781818181822,11.020056940278803,20,0.0,0,0.44614419999925303
+failure_recovery,8,1143.2296481049686,0.0,0.0,0.8481443322279337,1093.0,0.07908333333333334,0.9998676389839956,0.0187289999666973,66.93409090909105,17.079930907819264,0,0.0,0,0.48692190000110713
+failure_recovery,9,1160.4858755203138,0.0,0.0,0.8438846629428755,1105.5,0.07825,0.9978914253011311,0.020270333388907602,89.60223636363638,12.951528026718742,0,0.0,0,0.4880028999996284
+failure_recovery,10,1137.1577651015934,0.0,0.0,0.8478436548753546,1105.0,0.07883333333333334,0.9998842835244143,0.02107933332808898,66.63409090909103,17.065705400753785,0,0.0,0,0.5570685000002413
+failure_recovery,11,1148.4237886956028,0.0,0.0,0.8585691306005183,1099.5,0.07933333333333334,0.9999182820191449,0.019652666669571772,67.37227272727287,17.04594104082689,0,0.0,0,0.522175200001584
+failure_recovery,12,702.4952771822811,0.0,0.0,0.9116182453400821,1247.5,0.05425,0.9939420934954997,0.021456999966176227,63.71459090909094,11.025657814936196,20,0.0,0,0.447970000001078
+failure_recovery,13,1132.99646891837,0.0,0.0,0.8606749865348011,1094.5,0.079,0.9998981934884024,0.020493333401342777,66.8686363636365,16.943615580210924,0,0.0,0,0.5300139999999374
+failure_recovery,14,1140.835920281412,0.0,0.0,0.8491707488546703,1107.0,0.079,0.9998508498403267,0.01812800004699966,66.86000000000013,17.06305594198938,0,0.0,0,0.5371947000003274
+dynamic_scheduler,0,692.593201707782,0.0,0.0,0.9127807585476893,1265.0,0.05275,0.994926956083838,0.8936890000101508,60.63890909090914,11.421597322429637,20,0.0,0,0.7746805000006134
+dynamic_scheduler,1,1142.463738231709,0.0,0.0,0.8666023973301835,1100.0,0.07933333333333334,0.9998923285109091,0.20829766666793148,67.30318181818194,16.97488450572886,0,0.0,0,0.5943018000016309
+dynamic_scheduler,2,1141.063596981773,0.0,0.0,0.8598446324809755,1101.0,0.07916666666666666,0.9999003954154926,0.2059496665970073,67.14636363636376,16.993676726282448,0,0.0,0,0.6222236999983579
+dynamic_scheduler,3,846.0683953229498,0.0,0.0,0.9009209411071121,1204.5,0.06341666666666666,0.993376340259181,0.277270666701952,75.18205227272726,11.253595369461152,32,0.0,0,0.5542569999997795
+dynamic_scheduler,4,1150.5098737875614,0.0,0.0,0.849075479385289,1101.0,0.07916666666666666,0.9999017296970745,0.24562933329434597,67.17227272727285,17.12774969605039,0,0.0,0,0.5914434000005713
+dynamic_scheduler,5,1141.5317525944365,0.0,0.0,0.853655004470095,1104.5,0.079,0.9999284824675012,0.20564300000235866,66.82545454545468,17.082289381480624,0,0.0,0,0.5957390000003215
+dynamic_scheduler,6,824.994607182391,0.0,0.0,0.8925648372548743,1240.0,0.05516666666666667,0.9898786655497799,0.21480433335455018,40.04772727272744,20.600285293697887,20,0.0,0,0.5602890999998635
+dynamic_scheduler,7,691.15392753369,0.0,0.0,0.9104884778606398,1249.0,0.05375,0.9953158051366734,0.25134266662765486,62.71781818181822,11.020056940278803,20,0.0,0,0.5199080999991565
+dynamic_scheduler,8,1143.2296481049686,0.0,0.0,0.8481443322279337,1093.0,0.07908333333333334,0.9998676389839956,0.23188933336011056,66.93409090909105,17.079930907819264,0,0.0,0,0.5901575999996567
+dynamic_scheduler,9,1160.4858755203138,0.0,0.0,0.8438846629428755,1105.5,0.07825,0.9978914253011311,0.27249066658744897,89.60223636363638,12.951528026718742,0,0.0,0,0.5611454000008962
+dynamic_scheduler,10,1137.1577651015934,0.0,0.0,0.8478436548753546,1105.0,0.07883333333333334,0.9998842835244143,0.21786833326890095,66.63409090909103,17.065705400753785,0,0.0,0,0.6057163000004948
+dynamic_scheduler,11,1148.4237886956028,0.0,0.0,0.8585691306005183,1099.5,0.07933333333333334,0.9999182820191449,0.22095733332510764,67.37227272727287,17.04594104082689,0,0.0,0,0.5881019999997079
+dynamic_scheduler,12,702.4952771822811,0.0,0.0,0.9116182453400821,1247.5,0.05425,0.9939420934954997,0.3041200000673901,63.714590909090944,11.025657814936194,20,0.0,0,0.5829408999998122
+dynamic_scheduler,13,1132.99646891837,0.0,0.0,0.8606749865348011,1094.5,0.079,0.9998981934884024,0.29705533334587625,66.8686363636365,16.943615580210924,0,0.0,0,0.8801858000006177
+dynamic_scheduler,14,1140.835920281412,0.0,0.0,0.8491707488546703,1107.0,0.079,0.9998508498403267,0.27559233332794975,66.86000000000013,17.06305594198938,0,0.0,0,0.7270328000013251
