congestion_level,congestion_mult,n_satellites,n_stations,n_beams_total,scheduler,seed,delivered_gbit,completion_rate,sla_compliance,drop_rate,mean_wait_s,beam_utilization,fairness,mean_decision_ms,energy_kj,gb_per_kj,sessions_interrupted,mean_recovery_s,proactive_handovers,starvation_pct,wall_time_s
8x,8,160,2,4,edf/strongest,2,595.7036885063096,0.11875,0.06875,0.8635807271118264,769.5,0.628125,0.07763672686445029,0.5120229166436729,15.55,38.30891887500383,0,0.0,0,0.775,2.4114389999995183
8x,8,160,2,4,priority/strongest,0,601.4071120061255,0.13125,0.1,0.8676542472581587,747.25,0.628125,0.06309537250835746,0.5228645833616004,15.6,38.55173794911061,0,0.0,0,0.76875,2.4278560999991896
8x,8,160,2,4,priority/strongest,1,614.2134234130277,0.125,0.0625,0.8760452665532585,773.8125,0.6270833333333333,0.0762949512891943,0.5560016666549927,15.55,39.49925552495355,0,0.0,0,0.775,2.583770600000207
8x,8,160,2,4,priority/strongest,2,592.391758650116,0.13125,0.08125,0.86433917644084,766.78125,0.6260416666666667,0.07541896603670788,0.5372149999667878,15.55,38.0959330321618,0,0.0,0,0.775,2.534359299999778
8x,8,160,2,4,hungarian/throughput,0,625.0564631211965,0.1125,0.08125,0.8624499669749746,762.9375,0.625,0.06996642429626437,0.04728833333729199,15.45,40.45672900460819,0,0.0,0,0.8375,2.3085026999997353
8x,8,160,2,4,hungarian/throughput,1,636.9438981931416,0.11875,0.1,0.871458017504173,778.65625,0.6197916666666666,0.07419794065186935,0.044732916649081744,15.35,41.49471649466721,0,0.0,0,0.85,2.3072195000004285
8x,8,160,2,4,hungarian/throughput,2,656.1790882283942,0.1375,0.11875,0.8497315430008552,759.21875,0.6239583333333333,0.08314677124715567,0.04482041664838713,15.525,42.265963815033444,0,0.0,0,0.83125,2.240364600000248
8x,8,160,2,4,mip,0,625.0564631211965,0.1125,0.08125,0.8624499669749746,762.9375,0.625,0.06996642429626437,0.15902375001057104,15.45,40.45672900460819,0,0.0,0,0.8375,2.280083399999967
8x,8,160,2,4,mip,1,636.9438981931416,0.11875,0.1,0.871458017504173,778.65625,0.6197916666666666,0.07419794065186935,0.16860791668780925,15.35,41.49471649466721,0,0.0,0,0.85,2.3640331999995396
8x,8,160,2,4,mip,2,645.9846245781365,0.11875,0.1125,0.8520661287109761,767.375,0.6260416666666667,0.08362584811336343,0.17207916667227133,15.5,41.67642739213784,0,0.0,0,0.84375,2.279540800000177
